IDLieu,Ville,Etat,Region
SB-20290_45503,Springfield,Ohio,East 
AB-10150_74133,Tulsa,Oklahoma,Central
JF-15295_98103,Seattle,Washington,West 
BF-10975_28314,Fayetteville,North Carolina,South
TT-21265_90045,Los Angeles,California,West 
SB-20170_10035,New York City,New York,East 
LM-17065_71901,Hot Springs,Arkansas,South
KA-16525_60505,Aurora,Illinois,Central
BF-11170_27604,Raleigh,North Carolina,South
TB-21400_74133,Tulsa,Oklahoma,Central
SH-19975_92345,Hesperia,California,West 
AS-10225_84604,Provo,Utah,West 
PK-19075_94110,San Francisco,California,West 
HR-14830_85234,Gilbert,Arizona,West 
DG-13300_10035,New York City,New York,East 
CL-12700_65807,Springfield,Missouri,Central
HF-14995_38109,Memphis,Tennessee,South
HG-15025_79109,Amarillo,Texas,Central
NL-18310_90045,Los Angeles,California,West 
RR-19525_1852,Lowell,Massachusetts,East 
TC-21295_92024,San Diego,California,West 
DB-13615_28806,Asheville,North Carolina,South
SV-20785_81001,Pueblo,Colorado,West 
MH-18115_49201,Jackson,Michigan,Central
CT-11995_90004,Los Angeles,California,West 
KB-16315_27360,Thomasville,North Carolina,South
RA-19285_61604,Peoria,Illinois,Central
YC-21895_90032,Los Angeles,California,West 
RA-19915_60653,Chicago,Illinois,Central
CM-12160_19134,Philadelphia,Pennsylvania,East 
CS-12130_80112,Englewood,Colorado,West 
AJ-10795_98115,Seattle,Washington,West 
DL-12865_33012,Hialeah,Florida,South
BE-11410_43130,Lancaster,Ohio,East 
SM-20320_32216,Jacksonville,Florida,South
RP-19390_21215,Baltimore,Maryland,East 
JD-16015_10009,New York City,New York,East 
AB-10255_88220,Carlsbad,New Mexico,West 
CC-12145_90049,Los Angeles,California,West 
GH-14425_32216,Jacksonville,Florida,South
CP-12085_44107,Lakewood,Ohio,East 
GM-14440_12180,Troy,New York,East 
LC-16885_28403,Wilmington,North Carolina,South
BT-11305_98105,Seattle,Washington,West 
CP-12085_10024,New York City,New York,East 
SC-20680_31907,Columbus,Georgia,South
DK-13375_10024,New York City,New York,East 
SE-20110_92627,Costa Mesa,California,West 
LF-17185_77095,Houston,Texas,Central
ON-18715_27511,Cary,North Carolina,South
TB-21400_22304,Alexandria,Virginia,South
DF-13135_94591,Vallejo,California,West 
EP-13915_19120,Philadelphia,Pennsylvania,East 
SK-19990_43615,Toledo,Ohio,East 
FH-14350_98105,Seattle,Washington,West 
EH-13945_7060,Plainfield,New Jersey,East 
JE-15715_88001,Las Cruces,New Mexico,West 
KL-16645_19711,Newark,Delaware,East 
EB-13750_35244,Hoover,Alabama,South
BD-11725_43055,Newark,Ohio,East 
MS-17530_92037,San Diego,California,West 
SC-20770_94122,San Francisco,California,West 
FM-14380_28540,Jacksonville,North Carolina,South
KT-16480_2038,Franklin,Massachusetts,East 
AP-10720_75034,Frisco,Texas,Central
RH-19555_32303,Tallahassee,Florida,South
CS-11950_98115,Seattle,Washington,West 
TM-21010_95687,Vacaville,California,West 
HF-14995_90008,Los Angeles,California,West 
GA-14515_94122,San Francisco,California,West 
ES-14020_10035,New York City,New York,East 
JP-16135_31907,Columbus,Georgia,South
Dp-13240_84107,Murray,Utah,West 
NK-18490_94110,San Francisco,California,West 
PL-18925_19140,Philadelphia,Pennsylvania,East 
RW-19690_19134,Philadelphia,Pennsylvania,East 
MO-17950_75220,Dallas,Texas,Central
JJ-15445_53186,Waukesha,Wisconsin,Central
BT-11680_33311,Fort Lauderdale,Florida,South
RD-19585_48205,Detroit,Michigan,Central
ML-17755_45503,Springfield,Ohio,East 
JE-15745_92037,San Diego,California,West 
ER-13855_80906,Colorado Spring,Colorado,West 
JM-15535_93309,Bakersfield,California,West 
SS-20140_33068,Pompano Beach,Florida,South
TC-21295_10035,New York City,New York,East 
HG-15025_55044,Lakeville,Minnesota,Central
LD-17005_48234,Detroit,Michigan,Central
AS-10285_19134,Philadelphia,Pennsylvania,East 
MP-17965_45373,Troy,Ohio,East 
CD-12790_90036,Los Angeles,California,West 
MD-17860_78415,Corpus Christi,Texas,Central
BM-11650_68104,Omaha,Nebraska,Central
KN-16450_90278,Redondo Beach,California,West 
IG-15085_72209,Little Rock,Arkansas,South
JS-15595_33180,Miami,Florida,South
GA-14725_97301,Salem,Oregon,West 
DL-13330_88001,Las Cruces,New Mexico,West 
CS-12505_94122,San Francisco,California,West 
CC-12145_79907,El Paso,Texas,Central
MH-18025_98115,Seattle,Washington,West 
MP-18175_53209,Milwaukee,Wisconsin,Central
DR-12940_2038,Franklin,Massachusetts,East 
DM-13015_92024,Encinitas,California,West 
BD-11620_92804,Anaheim,California,West 
DC-12850_76017,Arlington,Texas,Central
MT-18070_77041,Houston,Texas,Central
MJ-17740_43130,Lancaster,Ohio,East 
ND-18370_97206,Portland,Oregon,West 
CA-11965_35244,Hoover,Alabama,South
GA-14725_90036,Los Angeles,California,West 
TC-21295_32303,Tallahassee,Florida,South
JB-15400_10009,New York City,New York,East 
CK-12325_23320,Chesapeake,Virginia,South
RL-19615_28314,Fayetteville,North Carolina,South
AC-10660_77340,Huntsville,Texas,Central
BH-11710_19140,Philadelphia,Pennsylvania,East 
BG-11695_60098,Woodstock,Illinois,Central
XP-21865_2149,Everett,Massachusetts,East 
SN-20560_60653,Chicago,Illinois,Central
DM-13345_30076,Roswell,Georgia,South
AJ-10780_32137,Palm Coast,Florida,South
KC-16255_19120,Philadelphia,Pennsylvania,East 
VF-21715_47201,Columbus,Indiana,Central
SV-20935_11572,Oceanside,New York,East 
EM-13810_2038,Franklin,Massachusetts,East 
RB-19360_57103,Sioux Falls,South Dakota,Central
DJ-13510_92037,San Diego,California,West 
CC-12370_28314,Fayetteville,North Carolina,South
SC-20380_30318,Atlanta,Georgia,South
RH-19495_32839,Orlando,Florida,South
JK-15370_94122,San Francisco,California,West 
AF-10885_43615,Toledo,Ohio,East 
LC-16885_33710,Saint Petersbur,Florida,South
BF-11275_85705,Tucson,Arizona,West 
SC-20800_90036,Los Angeles,California,West 
SW-20275_92105,San Diego,California,West 
MC-17845_10035,New York City,New York,East 
TD-20995_92037,San Diego,California,West 
Dp-13240_7090,Westfield,New Jersey,East 
SD-20485_7050,Orange,New Jersey,East 
TM-21010_60098,Woodstock,Illinois,Central
BK-11260_94110,San Francisco,California,West 
JF-15490_94122,San Francisco,California,West 
EP-13915_85281,Tempe,Arizona,West 
EP-13915_90008,Los Angeles,California,West 
KH-16630_98105,Seattle,Washington,West 
HG-14845_70601,Lake Charles,Louisiana,South
JC-16105_14609,Rochester,New York,East 
KM-16720_11561,Long Beach,New York,East 
EB-13975_28205,Charlotte,North Carolina,South
PW-19240_77036,Houston,Texas,Central
PG-18895_10035,New York City,New York,East 
DB-12910_31907,Columbus,Georgia,South
CR-12730_60610,Chicago,Illinois,Central
KH-16330_60035,Highland Park,Illinois,Central
DL-12925_55122,Eagan,Minnesota,Central
ME-17725_98103,Seattle,Washington,West 
VD-21670_33065,Coral Springs,Florida,South
CK-12205_11550,Hempstead,New York,East 
DL-12925_46060,Noblesville,Indiana,Central
SE-20110_75220,Dallas,Texas,Central
LS-17200_19140,Philadelphia,Pennsylvania,East 
MM-17920_94109,San Francisco,California,West 
DB-13270_78745,Austin,Texas,Central
RW-19630_48234,Detroit,Michigan,Central
JM-16195_13601,Watertown,New York,East 
BP-11155_31907,Columbus,Georgia,South
CT-11995_55124,Apple Valley,Minnesota,Central
TH-21550_27217,Burlington,North Carolina,South
ME-17320_48601,Saginaw,Michigan,Central
TT-21220_94109,San Francisco,California,West 
GT-14710_98105,Seattle,Washington,West 
JD-16150_53209,Milwaukee,Wisconsin,Central
MC-18100_90049,Los Angeles,California,West 
LH-17020_94122,San Francisco,California,West 
MP-18175_92024,San Diego,California,West 
EM-14140_85301,Glendale,Arizona,West 
GG-14650_10035,New York City,New York,East 
MA-17995_13601,Watertown,New York,East 
SH-20395_45503,Springfield,Ohio,East 
KT-16465_90032,Los Angeles,California,West 
PO-19180_98115,Seattle,Washington,West 
AY-10555_92054,Oceanside,California,West 
Co-12640_60076,Skokie,Illinois,Central
JF-15565_28314,Fayetteville,North Carolina,South
AR-10510_74133,Tulsa,Oklahoma,Central
AG-10675_75002,Allen,Texas,Central
DV-13045_19143,Philadelphia,Pennsylvania,East 
HL-15040_14609,Rochester,New York,East 
ND-18370_29464,Mount Pleasant,South Carolina,South
GB-14575_19134,Philadelphia,Pennsylvania,East 
CL-12565_98115,Seattle,Washington,West 
RC-19960_97477,Springfield,Oregon,West 
JB-16045_31907,Columbus,Georgia,South
MC-17635_90032,Los Angeles,California,West 
TT-21265_10024,New York City,New York,East 
MJ-17740_48227,Detroit,Michigan,Central
AT-10735_95207,Stockton,California,West 
PB-19150_85023,Phoenix,Arizona,West 
NW-18400_19120,Philadelphia,Pennsylvania,East 
VP-21730_48310,Sterling Height,Michigan,Central
RD-19810_14609,Rochester,New York,East 
MG-17875_10011,New York City,New York,East 
PA-19060_54703,Eau Claire,Wisconsin,Central
CR-12730_10009,New York City,New York,East 
AA-10375_91730,Rancho Cucamong,California,West 
JG-15160_42071,Murray,Kentucky,South
RR-19525_43615,Toledo,Ohio,East 
SR-20425_80027,Louisville,Colorado,West 
LS-16975_10035,New York City,New York,East 
MH-18115_78577,Pharr,Texas,Central
SC-20095_84084,West Jordan,Utah,West 
JB-16000_78521,Brownsville,Texas,Central
AC-10450_10011,New York City,New York,East 
MO-17800_19140,Philadelphia,Pennsylvania,East 
RB-19645_59102,Billings,Montana,West 
AI-10855_23320,Chesapeake,Virginia,South
DR-12880_97030,Gresham,Oregon,West 
DM-12955_48146,Lincoln Park,Michigan,Central
JH-16180_97030,Gresham,Oregon,West 
AB-10060_19143,Philadelphia,Pennsylvania,East 
BD-11605_71203,Monroe,Louisiana,South
AS-10045_91104,Pasadena,California,West 
ZD-21925_37421,Chattanooga,Tennessee,South
KF-16285_90805,Long Beach,California,West 
BP-11230_45373,Troy,Ohio,East 
CC-12430_55407,Minneapolis,Minnesota,Central
DB-13615_98105,Seattle,Washington,West 
TC-21475_31907,Columbus,Georgia,South
NZ-18565_83642,Meridian,Idaho,West 
SW-20350_48227,Detroit,Michigan,Central
TS-21370_60623,Chicago,Illinois,Central
DM-13345_43055,Newark,Ohio,East 
RE-19450_75081,Dallas,Texas,Central
JD-16150_19711,Newark,Delaware,East 
BF-11215_87105,Albuquerque,New Mexico,West 
ML-17755_43615,Toledo,Ohio,East 
YC-21895_19711,Newark,Delaware,East 
LR-16915_90045,Los Angeles,California,West 
BS-11755_90032,Los Angeles,California,West 
KM-16375_75217,Dallas,Texas,Central
BT-11530_92037,San Diego,California,West 
KB-16405_92307,Apple Valley,California,West 
DW-13480_40214,Louisville,Kentucky,South
JC-15340_10024,New York City,New York,East 
TP-21415_77070,Houston,Texas,Central
DB-12910_42420,Henderson,Kentucky,South
BH-11710_19711,Newark,Delaware,East 
TD-20995_60440,Bolingbrook,Illinois,Central
CV-12805_76106,Fort Worth,Texas,Central
CS-12355_10024,New York City,New York,East 
JG-15310_2908,Providence,Rhode Island,East 
JP-16135_43229,Columbus,Ohio,East 
EC-14050_10024,New York City,New York,East 
KH-16630_77070,Houston,Texas,Central
FG-14260_60505,Aurora,Illinois,Central
AA-10480_65807,Springfield,Missouri,Central
MS-17770_98105,Seattle,Washington,West 
JE-15610_33801,Lakeland,Florida,South
EB-14110_19134,Philadelphia,Pennsylvania,East 
BP-11155_10011,New York City,New York,East 
CC-12100_90049,Los Angeles,California,West 
JP-15460_11572,Oceanside,New York,East 
LS-16975_75081,Dallas,Texas,Central
JL-15850_10035,New York City,New York,East 
CY-12745_78207,San Antonio,Texas,Central
RB-19360_45231,Cincinnati,Ohio,East 
AR-10825_78745,Austin,Texas,Central
CS-11845_98105,Seattle,Washington,West 
AR-10825_90004,Los Angeles,California,West 
RD-19810_10035,New York City,New York,East 
KH-16510_98103,Seattle,Washington,West 
NF-18385_43055,Newark,Ohio,East 
SM-20950_55369,Maple Grove,Minnesota,Central
GH-14410_85301,Glendale,Arizona,West 
EM-13810_10009,New York City,New York,East 
DB-13210_28540,Jacksonville,North Carolina,South
PT-19090_77070,Houston,Texas,Central
HF-14995_94109,San Francisco,California,West 
KW-16435_48911,Lansing,Michigan,Central
KC-16675_32303,Tallahassee,Florida,South
PK-19075_29203,Columbia,South Carolina,South
KT-16465_60623,Chicago,Illinois,Central
EP-13915_48227,Detroit,Michigan,Central
AP-10915_80525,Fort Collins,Colorado,West 
SH-20395_10024,New York City,New York,East 
SM-20950_10011,New York City,New York,East 
BM-11650_21044,Columbia,Maryland,East 
TC-20980_77041,Houston,Texas,Central
KB-16585_1852,Lowell,Massachusetts,East 
JE-16165_95695,Woodland,California,West 
DR-12940_60610,Chicago,Illinois,Central
RW-19630_10035,New York City,New York,East 
ML-18040_77489,Missouri City,Texas,Central
JL-15130_77036,Houston,Texas,Central
CM-12655_39212,Jackson,Mississippi,South
FH-14365_10009,New York City,New York,East 
EH-13945_85281,Tempe,Arizona,West 
TB-21280_28540,Jacksonville,North Carolina,South
AH-10030_19134,Philadelphia,Pennsylvania,East 
TT-21070_44312,Akron,Ohio,East 
RD-19900_92037,San Diego,California,West 
LA-16780_93727,Fresno,California,West 
SH-19975_77581,Pearland,Texas,Central
SF-20200_47374,Richmond,Indiana,Central
TH-21235_19134,Philadelphia,Pennsylvania,East 
VG-21790_94403,San Mateo,California,West 
NP-18325_94601,Oakland,California,West 
FH-14275_10024,New York City,New York,East 
JP-15460_8701,Lakewood,New Jersey,East 
ES-14080_85281,Tempe,Arizona,West 
KL-16645_10035,New York City,New York,East 
BN-11515_10009,New York City,New York,East 
ND-18370_77095,Houston,Texas,Central
JL-15130_92503,Riverside,California,West 
RC-19825_6824,Fairfield,Connecticut,East 
CC-12475_10024,New York City,New York,East 
DW-13195_77095,Houston,Texas,Central
CK-12760_22204,Arlington,Virginia,South
EG-13900_60623,Chicago,Illinois,Central
SJ-20215_75051,Grand Prairie,Texas,Central
BP-11185_98103,Seattle,Washington,West 
SJ-20125_98103,Seattle,Washington,West 
MC-17590_49505,Grand Rapids,Michigan,Central
BG-11740_19120,Philadelphia,Pennsylvania,East 
MA-17560_60610,Chicago,Illinois,Central
CC-12220_98105,Seattle,Washington,West 
RA-19885_32216,Jacksonville,Florida,South
DK-12835_37064,Franklin,Tennessee,South
LB-16795_60035,Highland Park,Illinois,Central
CM-11815_77506,Pasadena,Texas,Central
TS-21205_94109,San Francisco,California,West 
RF-19345_33180,Miami,Florida,South
JF-15565_19120,Philadelphia,Pennsylvania,East 
EH-14185_35601,Decatur,Alabama,South
VW-21775_57103,Sioux Falls,South Dakota,Central
KN-16450_93277,Visalia,California,West 
SJ-20215_90049,Los Angeles,California,West 
PS-19045_90032,Los Angeles,California,West 
KM-16225_66212,Overland Park,Kansas,Central
GM-14695_22304,Alexandria,Virginia,South
KT-16465_27604,Raleigh,North Carolina,South
MH-17785_10035,New York City,New York,East 
AF-10885_45014,Fairfield,Ohio,East 
JP-16135_74403,Muskogee,Oklahoma,Central
RD-19585_92592,Temecula,California,West 
JF-15295_48310,Sterling Height,Michigan,Central
CK-12595_92024,San Diego,California,West 
KH-16510_75081,Dallas,Texas,Central
CM-12655_10035,New York City,New York,East 
EB-13870_85023,Phoenix,Arizona,West 
MW-18235_94122,San Francisco,California,West 
CS-11950_19140,Philadelphia,Pennsylvania,East 
SP-20620_78041,Laredo,Texas,Central
GT-14635_10009,New York City,New York,East 
LW-17215_10035,New York City,New York,East 
AH-10030_39503,Gulfport,Mississippi,South
TH-21100_92037,San Diego,California,West 
HG-15025_11572,Oceanside,New York,East 
EB-13750_78664,Round Rock,Texas,Central
SC-20725_92374,Redlands,California,West 
TS-21505_38401,Columbia,Tennessee,South
TH-21550_10009,New York City,New York,East 
KD-16270_77095,Houston,Texas,Central
GM-14455_60653,Chicago,Illinois,Central
PR-18880_94601,Oakland,California,West 
TB-21055_2169,Quincy,Massachusetts,East 
ON-18715_92399,Yucaipa,California,West 
AH-10195_60623,Chicago,Illinois,Central
NM-18520_98105,Seattle,Washington,West 
AR-10510_10024,New York City,New York,East 
BM-11650_92037,San Diego,California,West 
CA-12310_6010,Bristol,Connecticut,East 
NF-18595_60610,Chicago,Illinois,Central
AF-10870_60610,Chicago,Illinois,Central
TC-21535_10024,New York City,New York,East 
Dp-13240_2151,Revere,Massachusetts,East 
MC-17425_77036,Houston,Texas,Central
LC-17050_92691,Mission Viejo,California,West 
BM-11650_75217,Dallas,Texas,Central
NW-18400_89115,Las Vegas,Nevada,West 
TB-21280_73071,Norman,Oklahoma,Central
BS-11755_94122,San Francisco,California,West 
SO-20335_11550,Hempstead,New York,East 
CS-12490_77301,Conroe,Texas,Central
PO-19180_77095,Houston,Texas,Central
TD-20995_19120,Philadelphia,Pennsylvania,East 
SP-20620_33614,Tampa,Florida,South
MS-17365_10035,New York City,New York,East 
Dp-13240_28205,Charlotte,North Carolina,South
DB-13660_75081,Dallas,Texas,Central
MG-17650_98103,Seattle,Washington,West 
EH-14185_77506,Pasadena,Texas,Central
CL-11890_19143,Philadelphia,Pennsylvania,East 
KF-16285_46203,Indianapolis,Indiana,Central
DH-13075_40475,Richmond,Kentucky,South
LA-16780_60477,Tinley Park,Illinois,Central
HZ-14950_77095,Houston,Texas,Central
CM-12190_90004,Los Angeles,California,West 
LB-16795_43229,Columbus,Ohio,East 
JF-15490_43229,Columbus,Ohio,East 
GM-14695_94122,San Francisco,California,West 
SS-20590_53711,Madison,Wisconsin,Central
TC-21475_80013,Aurora,Colorado,West 
CC-12430_10024,New York City,New York,East 
CL-12565_90004,Los Angeles,California,West 
DE-13255_52001,Dubuque,Iowa,Central
SZ-20035_43130,Lancaster,Ohio,East 
LF-17185_90301,Inglewood,California,West 
AB-10165_98006,Bellevue,Washington,West 
NM-18520_60610,Chicago,Illinois,Central
RA-19945_75217,Dallas,Texas,Central
PO-19195_94122,San Francisco,California,West 
KA-16525_10024,New York City,New York,East 
JD-16150_10011,New York City,New York,East 
JO-15145_19140,Philadelphia,Pennsylvania,East 
LE-16810_19711,Newark,Delaware,East 
AH-10690_10024,New York City,New York,East 
KN-16705_36830,Auburn,Alabama,South
TB-21250_90049,Los Angeles,California,West 
DP-13390_94110,San Francisco,California,West 
KN-16705_27604,Raleigh,North Carolina,South
ST-20530_31204,Macon,Georgia,South
EB-13870_37211,Nashville,Tennessee,South
AH-10210_37211,Nashville,Tennessee,South
AS-10090_19143,Philadelphia,Pennsylvania,East 
EM-13825_75081,Dallas,Texas,Central
KA-16525_8861,Perth Amboy,New Jersey,East 
HJ-14875_32216,Jacksonville,Florida,South
ND-18370_32216,Jacksonville,Florida,South
EH-13765_2151,Revere,Massachusetts,East 
MH-17455_28540,Jacksonville,North Carolina,South
CL-11890_94122,San Francisco,California,West 
SF-20965_43229,Columbus,Ohio,East 
EP-13915_48127,Dearborn Height,Michigan,Central
RW-19630_66212,Overland Park,Kansas,Central
SJ-20500_87505,Santa Fe,New Mexico,West 
SP-20620_94110,San Francisco,California,West 
PJ-19015_36608,Mobile,Alabama,South
CC-12610_22153,Springfield,Virginia,South
MY-18295_19711,Newark,Delaware,East 
DB-13210_28601,Hickory,North Carolina,South
MG-17875_33311,Fort Lauderdale,Florida,South
RH-19600_60188,Carol Stream,Illinois,Central
KB-16240_56301,Saint Cloud,Minnesota,Central
CA-12055_90036,Los Angeles,California,West 
JK-15730_36608,Mobile,Alabama,South
RD-19930_78745,Austin,Texas,Central
JK-16120_10009,New York City,New York,East 
SC-20020_75023,Plano,Texas,Central
HW-14935_60653,Chicago,Illinois,Central
SC-20800_39212,Jackson,Mississippi,South
HA-14920_28314,Fayetteville,North Carolina,South
MG-17875_60505,Aurora,Illinois,Central
DM-12955_95823,Sacramento,California,West 
DM-13345_50315,Des Moines,Iowa,Central
ML-17395_92105,San Diego,California,West 
GA-14515_75081,Dallas,Texas,Central
SU-20665_39212,Jackson,Mississippi,South
BD-11320_92024,San Diego,California,West 
DB-13405_32839,Orlando,Florida,South
RP-19855_47905,Lafayette,Indiana,Central
EH-13765_10035,New York City,New York,East 
JL-15835_90049,Los Angeles,California,West 
FM-14380_10024,New York City,New York,East 
SB-20290_42420,Henderson,Kentucky,South
SV-20365_43229,Columbus,Ohio,East 
MM-17920_77840,College Station,Texas,Central
RD-19810_40475,Richmond,Kentucky,South
ME-17320_60653,Chicago,Illinois,Central
FH-14275_19120,Philadelphia,Pennsylvania,East 
PO-18865_90036,Los Angeles,California,West 
CC-12550_90008,Los Angeles,California,West 
TS-21505_94122,San Francisco,California,West 
MD-17350_44312,Akron,Ohio,East 
GT-14755_90049,Los Angeles,California,West 
RD-19660_64055,Independence,Missouri,Central
DB-12910_75220,Dallas,Texas,Central
JK-15640_98105,Seattle,Washington,West 
FC-14335_75150,Mesquite,Texas,Central
JW-15955_11561,Long Beach,New York,East 
DC-12850_33161,North Miami,Florida,South
FM-14290_93309,Bakersfield,California,West 
MT-17815_39212,Jackson,Mississippi,South
DK-13090_68025,Fremont,Nebraska,Central
KD-16495_49201,Jackson,Michigan,Central
AG-10300_94122,San Francisco,California,West 
MH-18115_43130,Lancaster,Ohio,East 
AC-10450_70506,Lafayette,Louisiana,South
FM-14290_40475,Richmond,Kentucky,South
RA-19285_77070,Houston,Texas,Central
JG-15160_10024,New York City,New York,East 
NZ-18565_43615,Toledo,Ohio,East 
KM-16225_19143,Philadelphia,Pennsylvania,East 
LC-17140_19140,Philadelphia,Pennsylvania,East 
NP-18700_80219,Denver,Colorado,West 
RB-19330_19143,Philadelphia,Pennsylvania,East 
TH-21550_21044,Columbia,Maryland,East 
CK-12595_10024,New York City,New York,East 
ST-20530_10035,New York City,New York,East 
GB-14530_43055,Newark,Ohio,East 
NC-18535_75217,Dallas,Texas,Central
AB-10255_19134,Philadelphia,Pennsylvania,East 
SC-20770_78207,San Antonio,Texas,Central
JC-15340_19120,Philadelphia,Pennsylvania,East 
RA-19285_90004,Los Angeles,California,West 
SH-19975_37167,Smyrna,Tennessee,South
JC-15775_31204,Macon,Georgia,South
BC-11125_94109,San Francisco,California,West 
JH-15985_98103,Seattle,Washington,West 
CC-12610_43229,Columbus,Ohio,East 
DB-12970_90004,Los Angeles,California,West 
PP-18955_45503,Springfield,Ohio,East 
MC-17845_90008,Los Angeles,California,West 
VF-21715_90045,Los Angeles,California,West 
MC-17275_38109,Memphis,Tennessee,South
DB-13210_48234,Detroit,Michigan,Central
AJ-10945_46226,Lawrence,Indiana,Central
CP-12340_32216,Jacksonville,Florida,South
DB-13555_43017,Dublin,Ohio,East 
EB-13750_33317,Plantation,Florida,South
JP-15460_85301,Glendale,Arizona,West 
SC-20050_49201,Jackson,Michigan,Central
FM-14290_2169,Quincy,Massachusetts,East 
TB-21250_97301,Salem,Oregon,West 
EH-14125_45373,Troy,Ohio,East 
ML-17410_19143,Philadelphia,Pennsylvania,East 
MH-17620_92105,San Diego,California,West 
BT-11680_20735,Clinton,Maryland,East 
JC-15340_92503,Riverside,California,West 
DB-13210_34952,Port Saint Luci,Florida,South
DO-13435_85204,Mesa,Arizona,West 
FA-14230_80219,Denver,Colorado,West 
QJ-19255_22153,Springfield,Virginia,South
TC-21475_98115,Seattle,Washington,West 
ON-18715_85281,Tempe,Arizona,West 
AD-10180_10701,Yonkers,New York,East 
AC-10615_14609,Rochester,New York,East 
MF-17665_43615,Toledo,Ohio,East 
DH-13075_35601,Decatur,Alabama,South
EN-13780_75220,Dallas,Texas,Central
SS-20140_75150,Mesquite,Texas,Central
RS-19765_90045,Los Angeles,California,West 
JW-15955_98103,Seattle,Washington,West 
JK-15625_98502,Olympia,Washington,West 
JO-15550_68104,Omaha,Nebraska,Central
TP-21130_31907,Columbus,Georgia,South
BS-11590_47201,Columbus,Indiana,Central
AB-10255_39212,Jackson,Mississippi,South
FO-14305_77070,Houston,Texas,Central
MF-17665_85023,Phoenix,Arizona,West 
SA-20830_60653,Chicago,Illinois,Central
SH-19975_80219,Denver,Colorado,West 
JL-15235_19711,Newark,Delaware,East 
KH-16630_20735,Clinton,Maryland,East 
RM-19750_10011,New York City,New York,East 
VM-21835_19711,Newark,Delaware,East 
LH-17155_49201,Jackson,Michigan,Central
WB-21850_10011,New York City,New York,East 
AP-10915_29730,Rock Hill,South Carolina,South
RA-19915_31907,Columbus,Georgia,South
DR-12880_90301,Inglewood,California,West 
JG-15310_79762,Odessa,Texas,Central
LC-16870_43055,Newark,Ohio,East 
GB-14530_90049,Los Angeles,California,West 
CK-12205_2149,Everett,Massachusetts,East 
TS-21160_53214,West Allis,Wisconsin,Central
MH-18025_60623,Chicago,Illinois,Central
DM-12955_77036,Houston,Texas,Central
JJ-15760_77036,Houston,Texas,Central
KB-16585_33012,Hialeah,Florida,South
CM-12160_94122,San Francisco,California,West 
FM-14215_19140,Philadelphia,Pennsylvania,East 
RF-19735_29203,Columbia,South Carolina,South
JK-15370_33180,Miami,Florida,South
JB-16045_91911,Chula Vista,California,West 
PN-18775_33180,Miami,Florida,South
LF-17185_10035,New York City,New York,East 
RH-19510_66502,Manhattan,Kansas,Central
MC-17575_19120,Philadelphia,Pennsylvania,East 
MN-17935_38109,Memphis,Tennessee,South
EH-14125_33311,Fort Lauderdale,Florida,South
TC-21535_43229,Columbus,Ohio,East 
JD-15895_90045,Los Angeles,California,West 
IL-15100_77041,Houston,Texas,Central
SW-20350_68104,Omaha,Nebraska,Central
DP-13390_90004,Los Angeles,California,West 
BT-11395_16602,Altoona,Pennsylvania,East 
JE-15475_10024,New York City,New York,East 
EJ-13720_92037,San Diego,California,West 
BE-11410_33178,Miami,Florida,South
KL-16555_27405,Greensboro,North Carolina,South
NC-18415_28540,Jacksonville,North Carolina,South
AH-10690_33317,Plantation,Florida,South
PK-19075_53209,Milwaukee,Wisconsin,Central
NG-18430_62301,Quincy,Illinois,Central
ZD-21925_32216,Jacksonville,Florida,South
NW-18400_36608,Mobile,Alabama,South
HG-14845_10024,New York City,New York,East 
CC-12685_10011,New York City,New York,East 
JG-15805_75217,Dallas,Texas,Central
RW-19540_48234,Detroit,Michigan,Central
LS-17230_19901,Dover,Delaware,East 
MY-18295_43229,Columbus,Ohio,East 
JM-15655_85301,Glendale,Arizona,West 
KM-16720_89031,North Las Vegas,Nevada,West 
KE-16420_37620,Bristol,Tennessee,South
TS-21370_90049,Los Angeles,California,West 
SZ-20035_48187,Canton,Michigan,Central
JE-15745_72701,Fayetteville,Arkansas,South
MS-17980_65807,Springfield,Missouri,Central
DH-13675_2169,Quincy,Massachusetts,East 
GT-14755_61107,Rockford,Illinois,Central
GH-14410_94122,San Francisco,California,West 
DM-13015_78207,San Antonio,Texas,Central
TC-21295_80229,Thornton,Colorado,West 
JK-16120_60653,Chicago,Illinois,Central
NC-18415_10701,Yonkers,New York,East 
AJ-10960_92037,San Diego,California,West 
LC-16885_61821,Champaign,Illinois,Central
GW-14605_94122,San Francisco,California,West 
SC-20305_46226,Lawrence,Indiana,Central
JF-15355_92105,San Diego,California,West 
DM-13015_37604,Johnson City,Tennessee,South
EP-13915_33614,Tampa,Florida,South
JG-15805_62521,Decatur,Illinois,Central
PF-19120_85234,Gilbert,Arizona,West 
DW-13195_37918,Knoxville,Tennessee,South
CK-12595_60653,Chicago,Illinois,Central
CC-12670_47401,Bloomington,Indiana,Central
SV-20785_30076,Roswell,Georgia,South
SP-20860_90036,Los Angeles,California,West 
MS-17770_77036,Houston,Texas,Central
TC-21475_60440,Bolingbrook,Illinois,Central
SJ-20125_71854,Texarkana,Arkansas,South
DS-13180_78207,San Antonio,Texas,Central
SC-20800_78539,Edinburg,Texas,Central
SH-20395_43615,Toledo,Ohio,East 
SF-20965_77520,Baytown,Texas,Central
MG-17680_19143,Philadelphia,Pennsylvania,East 
