BreedID	strangeraggr	owneraggr	dogaggr	dogfear	dogrivalry	trainability	chasing	strangerfear	nonsocialfear	sepprobs	touchsens	excitability	attachatten	energy
Chihuahua	1.6	0	1	1.5	0	3	2.25	2	0.6666666667	1.25	0.75	2	3.6666666667	3.5
Rottweiler	0.4	0	0	0	0.25	2.875	3	0	0.6666666667	0	0.5	2.5	2	2
Mixed Breed/Unknown	0.3	0	0	0	0.25	3	2.25	0	0.6666666667	0	0.25	2	0.5	0
English Setter	0.4	0	0	0.25	0.5	2.75	3	0	0.1666666667	0.25	0.75	1.6666666667	1.6666666667	1.5
Chinook	0.1	0	1	1	0	2.5	0.5	1.75	1	0.5	0	3	1.1666666667	0
Shiba Inu	0.3	0.125	1.5	0.25	1	2	3.25	0.5	0.3333333333	0.75	0.25	2.1666666667	1.3333333333	1.5
Mixed Breed/Unknown	0	0	0.6666666667	1	0	2.75	2.25	0	1	0	1.25	1.3333333333	1.6	0.5
Golden Retriever	0	0	0	0.25	0	3.625	2.75	0	0	0.75	0.25	2.8333333333	3.5	3
Rottweiler	2.9	0.625	0.5	1	0	2.5	0.5	1	1.2	0.875	1.3333333333	1	2	1.5
Mixed Breed/Unknown	1.1	0.125	1	0	0.75	3.125	2.75	0.5	0.6666666667	0.375	1.75	1.5	1.6666666667	2
Soft Coated Wheaten Terrier	0	0	0	0.25	1	3.25	3	0	0.3333333333	0.25	0	2.1666666667	1.8333333333	3
Mixed Breed/Unknown	1.6	0	2	0.75	0.5	2.375	2.75	1.25	1	0.25	1.5	2.1666666667	2	3
Border Collie	0	0	0.5	0	2	2.75		0	0.8333333333	0.5	0	2	3.5	3.5
Soft Coated Wheaten Terrier	0.3	0.25	0.5	0.5		1.75	0	0	1.8333333333	1.125		1.8333333333	2	2
Soft Coated Wheaten Terrier	0	0	0		0.5	3.625	0.5	0.5	1.8333333333	0.875	0.25	1.5	1.3333333333	0.5
Soft Coated Wheaten Terrier	0.5555555556	0.25	1	0.75		3	2	0	0.6666666667	0.625	1.25	2.5	1.6666666667	2.5
Soft Coated Wheaten Terrier	0	0.125	0	0	0	2.375	1.5	0	0.5	0	0	2.6666666667	1.6666666667	3
Dalmatian	0	0	0	0	0	3.625	0	0	0	0	0	1.3333333333	1.5	3
Dalmatian	0	0	0	0	0	2.75	0.75	0	0	0.375	0	2	2.5	1.5
Mixed Breed/Unknown	0.375	0				2.75	1	0	0.6	0.25	0	1.3333333333	2	2
Mixed Breed/Unknown	2.125	0	1		0.25	2.625	2.6666666667	1	0.4	0.5	0.25	3	2.5	2.5
Belgian Malinois	0.2	0.25	2	2	0.25	3	1.3333333333	0		0.375	1.75	2.1666666667	2.1666666667	2
Afghan Hound	0.1	0.25	1	1.5	0.5	1.75	2.5	0.75	0.5	0	0.75	1	0.8333333333	1
Chinook	0.6	0	0.5	0.6666666667		2.5	2.5	1.25	0.5	0.75	0.75	1.6666666667	2.6	3
English Springer Spaniel	0.4	0	0.25	0.75	0.25	3.25	2.75	1	0.5	0.5	1	2.5	2.3333333333	2
Black and Tan Coonhound	0	0	0.5	0.25		3.25	1	0	0.3333333333	0.75	0.3333333333	2	2.1666666667	2
Shih Tzu	0	0	0	0	0	3.125	1.25	0	0.6666666667	0	0.25	2	1.6666666667	0
Chinook	0	0.125	0.25	0	0.25	2.875	2	0	0	0.625	0.5	1.6666666667	1.5	1.5
Chinook	0.5	0	0	0	0	2.75	2.25	1.25	0.1666666667	0.125	0.75	1.5	1.5	1.5
Mastiff (English)	1.3	0	1.5	0	0	1	3.3333333333	3.5	0.3333333333	0	1	3.5	2.3333333333	0
Mastiff (English)	0.8	0	0.3333333333	0.3333333333	0	3		0.75	0.6	0.875	0.3333333333	3.6666666667	0.6666666667	3.5
Bichon Frise	0.3	0	1	0	1.5	1.875	1.3333333333	0	0.3333333333	0.625		3.6666666667	2	4
Bichon Frise	0.4	0	0.6666666667	1.5	1	2.5	1.25	0.5	1.8333333333	0.625		3.1666666667	1.8333333333	3
Brittany	0.1	0	0	0.5		2.5	3	0.25	0.6	1.25	1	3.3333333333	2.8333333333	2
Mixed Breed/Unknown	0.5	1				3	0	0.25	1.4	0.75	3	2.6666666667	1	0
Australian Shepherd	0.6	0.125	0.3333333333	2		3	3.25	1.25	1.6	0.625	2.75	1.5	2.6666666667	3.5
Rat Terrier	1	0	0	0.75		2.875	1.5	2.25	1.2	0.8571428571	1.3333333333	2.3333333333	1.8333333333	2
Soft Coated Wheaten Terrier	0	0	1.25	0	0	2.25	2.25	0	0.3333333333	0.25	0.25	2.3333333333	1.2	2
Bullmastiff	0.5	0	0	0	0	2.5	1	2.25	1	0	1.25	1	1.3333333333	0
Mixed Breed/Unknown	0.8	0	1	1	0.5	3.25	3	0.5	0.8333333333	0	1.25	1.5	1.6666666667	3
Mixed Breed/Unknown	1.3	0	0.5	0	1.25	3.125	2.75	1.5	1.1666666667	0.25	1.25	2.1666666667	2.5	2
Collie	0	0	0.25	0	0	3.5	0	0	0.3333333333	0	0	0.6666666667	0.5	2
Collie	0.3	0.125	0.75	0	0.25	2.125	0.5	0	1.1666666667	0	0	0.8333333333	0.6666666667	2
Collie	0.4	0	0.25	0	0.5	2.625	1	0	0.5	0.25	0.5	1	1.5	1.5
Mixed Breed/Unknown	0.4	0	0.75	0	0	2.5	1.75	0.25	0.6666666667	0.375	0	1.5	1.6666666667	1.5
Collie	0	0	0	0	0	1.625	0	0	0.1666666667	0	0	0	0	0
Mastiff (English)	0.4	0	0	0	0	2.625	1.3333333333	0	0.5	0.625	0	2.8333333333	2.6666666667	2
Mixed Breed/Unknown	1	0.2857142857	1.25	0.5		2.25	3	0.75	1.5	1.1428571429	1.5	2.3333333333	1.6666666667	2.5
Bullmastiff	1.6	0	1.25	0	2	3.25	3.6666666667	0	0	0.75	0	2	3	2
German Shepherd	0	0	0	0.5	0	3.375	2	0.25	0.6666666667	1	1	2.8333333333	2.8333333333	2
German Shepherd	0.6	0	0.75	0	2	3	3.5	0	0	0.625	0	3	2.1666666667	4
Portuguese Water Dog	0.125	0	0	0	0	4	3.75	0	0	0	0	3.5	1.8333333333	1.5
Portuguese Water Dog	0.125	0	0	0.25	0	4	3	1	0.1666666667	0	0	3.1666666667	1.3333333333	4
Portuguese Water Dog	0.125	0	0.25	1	0	3.5	4	0	0.1666666667	0	0	2.5	3.1666666667	4
Portuguese Water Dog	0.125	0	1.25	0.25	0.25	4	3.5	0	0	0	0	2.8333333333	1.8333333333	1.5
Labrador Retriever		2.125	0	0.5		1.875	0.75	0	0.1666666667	0	1.5	1.3333333333	1.1666666667	2
Irish Wolfhound	0.2	0.125	0	1.5		2.75	1.5	0	0.6666666667	1.25	0.75	1.8333333333	2.6666666667	2.5
Greyhound	0	0.125	0.5	1		1.25	2.5	0.75	1.1666666667	0	1.75	1.3333333333	2	1
American Bulldog	0.6666666667	0	0	0.6666666667	0	3.375	2.25	2.6666666667	2.5	0.25		0.8	1.3333333333	1
Weimaraner	0	0	0	0.25	0.5	2.125	3.25	0	0.4	0.75	0.75	2.6666666667	0.6666666667	3
Dalmatian	0.2	0	0.5	0.75	0.5	3.25	1.5	0	0.5	0.125	1.25	2.5	1.8333333333	1.5
Dalmatian	0.6	0	1.5	2.25	0.5	1.7142857143	3	1	0.8333333333	0	0.25	1.6666666667	0.6666666667	1.5
Dalmatian	0.5	0	1.25	2.25	1.75	3.625	2	0.75	1.2	0.375	0.5	3.1666666667	1.8333333333	3
Dalmatian	0	0	0.5	1	0.75	2.2857142857	2.75	0	0.4	0	1	2.3333333333	0.3333333333	3
Miniature Schnauzer	3	0.375	3	1.75	2.5	1.5		2.6666666667	1.8	1.5	2.75	3.1666666667	3.3333333333	3
Boxer	0.4	0.125	1.25	0	0.75	1.875	1.75	0	0.6666666667	0.75	0.5	2.1666666667	2.1666666667	1
Airedale Terrier	0	0			0	2.625		0.25	0.1666666667	0.125	0.25	1.6	1.6666666667	4
Labrador Retriever	0	0.125	1.25	1.25	0.3333333333	2.875	2.5	0	1	0.125	2.5	2.8333333333	2.8333333333	1.5
Doberman Pinscher	0.3	0.125	0.75	0.5	0	1.625	2.25	0	1.3333333333	0.25	0.75	2.6666666667	3.3333333333	1.5
Siberian Husky	0.3	1.5	1.5	0.25	2	2	0.75	0	0.6666666667	0.25	0.5	1.5	0.6666666667	0.5
Mixed Breed/Unknown	0.2	0	0	2.75	0	2.7142857143	1.75	3	2.1666666667	0.5	1	2	1.8333333333	2
Shiba Inu	0.4	0.4285714286	1	1.25	1	2.5714285714	3.5	0.5	0.1666666667	0.5	1.25	2.3333333333	1	0
Mixed Breed/Unknown	0	0.25	0	0.25	0	2.625	0.75	0	0.6666666667	1	0	3	2	3
Portuguese Water Dog	0	0	1	1	0	3.625	2.5	0	0.4	0	0.5	2	2.5	2
Mixed Breed/Unknown	2.2222222222	0	1.5	1	0	2.5	3.25	2.5	1.2	0.875	1.5	3.2	2.3333333333	1.5
Akita	1.2	0	0.5	0	0	3.75	2.25	0	0	0.25	0	0.5	2.3333333333	2
Brittany	0.75	0			0.5	2.625	3.75	0.5	1	1.1428571429	1	2.3333333333		0
Dachshund	0.6666666667	1	1.3333333333	0.5	2.5	2.5	3.25	0.5	0.8333333333	0.5	1.5	2.6	2.1666666667	2
Australian Silky Terrier	0	1			0.3333333333	1.875	3	0.5		0.5	1.75	2.8333333333	1.3333333333	2.5
Flat-Coated Retriever	0	0	0	0	0.75	3.375	0.5	0	0.1666666667	0.125	0	1.3333333333	2.5	1.5
German Shorthaired Pointer	0	0.25	0.25	0.3333333333		3.375		0	0.5	0	0.5	0.6666666667	0.8333333333	3
Pekingese	2.2		2.75	0		1.375	1	0	0.1666666667	1.5714285714	0	3.8333333333	1.6666666667	1.5
Shiba Inu	0.2222222222	0.5714285714	0.6666666667	0.3333333333		1.875	3.25	0	1.2	0.5		0.8	1.8	4
Australian Cattle Dog	0.3	0	2	0		2.625	2.5	0	0	0.5	0.3333333333	1.8333333333	0.8	2.5
Mixed Breed/Unknown	0.6	0	0.75	1.25		2.875	1.6666666667	2.25		0.625	0	1.8333333333	2.2	1.5
Australian Cattle Dog	0.9	0	0	0	0	3	1.5	1.25	0.4	0.25	0.5	2.1666666667	1.3333333333	2.5
Black and Tan Coonhound	0.2	0	0.25	0	1	2.625	2.25	0	0.8333333333	0	0.25	1.5	2.1666666667	1.5
Dachshund	0.6	0	0	0	0	2	4	0	0.6666666667	0	0	2.6	1.6	3
Newfoundland	0	0	1.5	0	1	3.875	1.75	0	0.8333333333	0.5	0	1.1666666667	2.1666666667	1
Pug	0	0	3.25	0	2	1.125	2.3333333333	0	0.1666666667	0		2.1666666667	1.5	1.5
Yorkshire Terrier	0.2	0.25	3.5	1.75	1	3.125	0	0.25	1.5	1.875	0.25	2.1666666667	2.3333333333	3
Mixed Breed/Unknown	0	0.125	0	0	0.25	2	2.5	0	0	0	0	2	0.3333333333	1.5
Mixed Breed/Unknown	2.8888888889	0	1.3333333333	0.75	0	2.75	4	2	0	0.625	0	3.8333333333	1.5	2
English Springer Spaniel	0.3333333333	0	1.3333333333	0		2.4285714286	1.75	0	0.1666666667	0.375	0	2.3333333333	0.6666666667	2
Mixed Breed/Unknown	0.8	0	1.5	1.25	0.25	2.625	2.75	0.5	2.3333333333	0	1	2	1.5	2
Collie	0.1	0.375	0.5	0	0.5	2.8571428571	1.25	0	0.1666666667	0.75	0.25	1	0.8333333333	0
Whippet	0.3	0	0.75	0	1	3	2.75	0	0.3333333333	0.75	0.25	1.8333333333	2.1666666667	1
Chesapeake Bay Retriever	1.1	0.125	1.6666666667	0.3333333333	1.75	2.75	2.25	0.25	0.6666666667	0.375	1.5	2.5	2.5	3
Belgian Malinois	1.1	0.125	2	1.6666666667	2	2.375	2.5	0.25	1.8333333333	0.375	1.5	2.6666666667	2.6666666667	4
Siberian Husky	0	0.125	0.5	0.5	2	2	2.75	0	0.2	0	0	1.2	1	1.5
Rottweiler	0.3	0.25	0.5	0	0.75	2.625	0.6666666667	0	0	0.625	0	1	1.8333333333	2.5
German Shepherd	1.3	0	1.25	0.5	1.5	2.875	2	1	1.5	0	0.5	2.6666666667	3	2
Australian Cattle Dog	0.6	0.5	0.5	0.5		3.5	3.5	0.75	0.1666666667	0.875	1	3.1666666667	2.8333333333	3.5
Mixed Breed/Unknown	0.6	0.5	1	1		3	2	1	0.5	0.375	0	2.5	2.3333333333	3
Cocker Spaniel (English)	0	0	0	0	0	2.5	1.75	0	0.3333333333	0.625	0.5	2.6666666667	2.6666666667	2
Mixed Breed/Unknown	1.4	0.1428571429	0	1			2.75	0.5	2	0	0.3333333333	2	1.2	2
Pomeranian	0	0.375	1.25	1.25	1	3.1428571429	2	0	0.1666666667	0.625	0	0.5	1.8333333333	3
Greyhound	0	1.25	2.3333333333	2		2	1.6666666667	0	1	4	0.75	2.8333333333	2.8	1
Mixed Breed/Unknown	0.3	0	0	0.25	0.5	3.125	2.25	1	0.1666666667	0.25	0.5	1.6666666667	2.1666666667	2
German Shepherd	0	0	1.75	1.75	1	3.625	1.75	0	0.1666666667	0	0	0.5	1	0.5
American Staffordshire Terrier	0.3	0	1.5	0	2.25	1.75	4	0	0.1666666667	0.875	1.5	2.2	3.6666666667	1
Cocker Spaniel (English)	0	1.7142857143	1.25	0.25	3	3.2857142857	2.5	0	0.4	0.5		1.6	2.6666666667	2
Rottweiler	0	0	0	0.5	0.25	3.125	2.25	1.75	0.5	0.25	1.25	2.1666666667	1.5	0.5
Collie (Rough)	0.2	0.125	1.3333333333	3	1	3.375	2.75	0	0.1666666667	0	1.5	0.6666666667	2.3333333333	2
Mixed Breed/Unknown	0.8	0	1	0.5	0.25	2	2.5	0	0.3333333333	0.25	0.5	1.5	2	0
Mixed Breed/Unknown	1.3	0	2	1.25	1	2.5	2.5	1.5	2.5	0.75	1.25	2	2.1666666667	2
Chinese Crested	3.5	0.75	1.6666666667	3.25	3	2.625	1.75	4	3.5	1.625	0.75	3.3333333333	2.6666666667	3
Samoyed	0	0	0	1.5	0	1.75	1	1.75	1.3333333333	2	1.75	1.6666666667	1.8333333333	1.5
Mixed Breed/Unknown	0.6	0.75	0.5	1.5	1.75	2.5	2.25	1.75	0.8333333333	0	3.25	2.1666666667	2.1666666667	1.5
Cocker Spaniel (American)	0.3	0.5	0.5	0	1.75	1.875	1.25	0.25	1.5	1.125	0	1.6666666667	2.5	2.5
Labrador Retriever	0.2	0	0.25	0.5		2.375	0.5	0	0.5	0.125	1.25	2	1.5	1
Mastiff (English)	0	0	0	0	0	2	1.75	0	0	0	0	1.3333333333	2.1666666667	2.5
Rhodesian Ridgeback	0.125	0	0.3333333333	0.3333333333	0.75	2.375	2.75	0.25	0.2	0	0.5	1.3333333333	2	2
Papillon	0	0	1.5	0	1	2.625	2.5	0	0	0	0.25	2	1.3333333333	1.5
Greyhound	0.1	0.5	0	1	1	2.75	0.25	1.25	1.3333333333	0.5	1	1.8333333333	1.1666666667	1.5
Labrador Retriever	2.4	0	1	0.3333333333	0.5	1.625	3.6666666667	0	1.8333333333	2.4285714286	0.5	3	3.3333333333	2
Saint Bernard	1.5555555556	2.25				1.125	4	0	1.4	0.875		3.1666666667	2.8333333333	4
Bernese Mountain Dog	0.3	0	1.75	0.25		3.5714285714	1.25	0	0.1666666667	0.1666666667	1		2.3333333333	
Cavalier King Charles Spaniel	0	0	0	1		3	2.5	0	0.3333333333	0.125	0	3	2.1666666667	1
Dachshund	2.7	0.25	4	0.5	1.5	1	4	4	2.5	1.5714285714	2.75	2.8333333333	2.6666666667	2
Jack Russell Terrier	0.7	0	1.25	1	0.25	2.5	2.25	0.5	0.8	0.125	0.5	2.1666666667	2.3333333333	1.5
Pekingese	0.9	1.625	1.5	2.6666666667	2.5	1.75	3.5	1.25	1.2	0	2	2.5	0.6666666667	2
Pekingese	0	0	0	1	0.5	3	2	0.5	0.6666666667	0.375	1	2	2.5	0.5
American Eskimo Dog	0.1	0	4	0	2.5	2.1428571429	3.3333333333	0.25	0.1666666667	0.125	0.75	1.8333333333	1.6666666667	1.5
Newfoundland	0.1	0	0	0		2.375	1.25	0	1.1666666667	0	0	1.3333333333	1.1666666667	0.5
Border Terrier	0.1	0	1	0	1	3.5	3.25	0	0	0.375	0.75	1.6666666667	1.5	2.5
Australian Kelpie	0.2	0	0.75	1	0.25	3.75		0	0.6666666667	0.375	0	2	1.3333333333	1.5
Shetland Sheepdog	0	0	0	0.75	0	3	0.25	0	1	0.375	0.5	3.1666666667	1.8333333333	4
Akita		0.125	0.75	0	0.5	3	3.5	0	0.1666666667	0	0	1.6666666667	1.3333333333	2
Poodle (Standard)	0.6	0	0.75	1.5		2.5	2	1	1.4	2	0.3333333333	3	2.6666666667	2
Lhasa Apso	0	0	0		0			2				1.4	1	0.5
Boxer	0.2	0	0.25	0.25	0.75	3.375	0.75	0	0.5	0.125	0	2.5	1.3333333333	2
Soft Coated Wheaten Terrier	1	0	0.5	0		2.125	1	1.25	1	0.25	0.5	1.8333333333	1.3333333333	2
Border Collie	0.1	0	0.5	0.5	0.5	3.625	1.5	0	1.1666666667	1	1	1.1666666667	1	0
Siberian Husky	0	0.25	0.75	0.5	0.25	2.7142857143	3.25	0	0.5	0	1	1.3333333333	1	0.5
Newfoundland	0.3	0	0.75	0.5	0	2.4285714286	1	0	0.8333333333	0.25	0	2.6	1.6666666667	1
Brittany	0.7	0	2	1.6666666667		3	3.5	1	0.8333333333		1	3.5	3.2	2.5
Mixed Breed/Unknown	0	0	0	2.25	0	3.25	3	0.25	0.3333333333	0.25	0.5	0.8333333333	2	2.5
Golden Retriever	0	0	0	0	0	1.625	2.25	0	1.5	0.25	0	1.8333333333	2.6666666667	2
Mixed Breed/Unknown	0.9	0	0.5	1.25	0	2.375	0.25	0.75	0.6666666667	0.5	0.25	1	1	0
Tibetan Terrier	0.3	0	0.75	0.5	0.5	2.7142857143	1.5	0	0.3333333333	0	0.5	1.5	1	0.5
English Setter	0	0	0.25	0.75	0.5	3.25	3.25	0	0.3333333333	0.375	1	1.6666666667	1.1666666667	1
Belgian Tervuren	0	0	0.5	0	0.3333333333	3.875	1	0	0.1666666667	0.125	0.75	1.1666666667	1.6666666667	2
Belgian Sheepdog	0	0	0.5	0	0.3333333333	3.625	1.25	0	0	0	0	1.6666666667	1.5	2.5
Poodle (Standard)	0.7	0	0.5	0	0	2.75	3	0	0	0.25	0	2.3333333333	1.6666666667	2
Golden Retriever	0.1	0	0.25	0.25	0	2.375	1.5	0	1.5	0.625	1	1.3333333333	0.1666666667	1
Nova Scotia Duck Tolling Retriever	0	0	0.25	0.6666666667	0.25	3.125	1.5	0	0.8333333333	0	0.25	1.8333333333	1.5	1.5
Nova Scotia Duck Tolling Retriever	0	0	0	0.25	0.25	2.875	1	0	0.2	0	0.25	1.5	1.1666666667	3
Nova Scotia Duck Tolling Retriever	0	0	0.6666666667	0	0.75	3.25	1.75	0	0	0	0.75	1.8333333333	1.6666666667	0.5
German Shepherd	1.5	0	1	0.25	0	3.875	3.5	0	0	0.125	0.25	1.8333333333	2.3333333333	3
Otterhound	0.2	0	1.25	0	0.5	1	2.75	0	0.8333333333	0.125	0.25	2.5	0.3333333333	3
Border Collie	0.2	0	0	0	1	4	2	0.25	0.8333333333	0	0.5	1.8333333333	0.6666666667	1.5
German Shepherd	0.1	0	0	0	0	3.375	2.75	0	0	0.125	0	1.8333333333	1.1666666667	3.5
Bulldog	2.1	0	4	0	2	2.5714285714	4	2	0.3333333333	0	0	3.5	1.5	2
Australian Cattle Dog	0	0	0	0.6666666667		2.5	3.5	0	0.5	0.5	0.25	2.8333333333	2	3
Golden Retriever	3	2.125	3	2.75	2.25	2.125	2.75	2.75	2.6666666667	2.25	2.25	3	4	4
Poodle (Standard)	0.2	0	0	1	0	3.25	0.5	0	0.3333333333	0.75	0	1.8333333333	0.3333333333	0
Mixed Breed/Unknown	0	0	0	1.5	0	2.75	1.3333333333	3	2	1.125	1.25	1.8333333333	0.8333333333	0.5
Chinook	0.5	0	1	0	0	2.75	1.5	0	0	0.125	0.5	1.5	1.6666666667	1.5
Australian Cattle Dog	0.5	1.125	0.5	2		2.75	0	0		0.25	1.5	2.6666666667	2.4	3.5
Collie	0.4	0	0	0	2.5	3.125	2.5	0.25	0	0.625	0.5	1.1666666667	1.6666666667	2
Mixed Breed/Unknown	0	0	0	0.5	0	2.875	3	0	0.1666666667	0.25	0	2.3333333333	1.3333333333	3.5
Mixed Breed/Unknown	0.7	0.125	1.5	1.5	0.25	3.125	2.6666666667	0	1	1.1428571429	0.75	2.5	1.8333333333	2
Mixed Breed/Unknown	0	0	1	0	0.5	3.25	0.5	0	0	0	0	1.6666666667	1	0.5
Lagotto Romagnolo	0.3	0				3	3.25	0	0.1666666667	0	0.25	1.3333333333	1.4	2
Labrador Retriever	0	0	0	0.5	0.5	3.25		0	0	0.25	0.5	2.6666666667	3.8333333333	2
Labrador Retriever	1.3	0.875	1	0.75	1.75	3.25	3.5	0.5	1.5	1.875	1.25	3.3333333333	1.3333333333	0.5
German Shepherd	3.4	0.25	2.6666666667	4		2.625	3.5	4	0.6666666667	1.625	1.75	3.6666666667		4
Chihuahua	0.7	0	1.25	1	0.25	2.75	1.5	1	0.3333333333	0.125	0.75	2	1.6666666667	2.5
Chihuahua	0.9	0	1.25	2.25	0.25	1.75	1.5	1.75	0.8333333333	0.125	1.25	1.6666666667	1.3333333333	0.5
Weimaraner	0.6	0			0.5	2.5	3.25	0.6666666667			0.25	2.6666666667	3	2.5
Mixed Breed/Unknown	1.4444444444	0.4285714286	2	0	0.75	2.75	2	0.5	1	2.25	0.25	2	3.6666666667	2.5
Mixed Breed/Unknown	0.2	0.375	0	0.3333333333		2.625	1.75	0	0.8333333333	0.875	0	2	1.3333333333	0.5
Mixed Breed/Unknown	0.75	0	0.6666666667	0.5		1.5714285714		1.5	0.8	3.1666666667	3	2	2.6666666667	0.5
Rottweiler	0.7	0.625	1	0.5		2.75	0.6666666667	0	2.5	1.875	1.3333333333	2.5	3.1666666667	3
Samoyed	0	1.125	0.25	0.25	1.5	2.2857142857		1.5	1.6666666667	0.875	1	1	2.6666666667	2.5
American Pit Bull Terrier	1.1	0.25	1.75	1.25	1.25	3	1.75	1.5	1	0.125	2.25	2.3333333333	1.5	3
Yorkshire Terrier	1.6	1.5	1.5	1.25	0.75	1.625	3.75	0.75	0.4	0.625	0.75	2.6666666667	2	3
Mixed Breed/Unknown	0	0	0.75	0.5		2	1.25	1	3	2.375	2.25	1.8333333333	2.1666666667	1
Mixed Breed/Unknown	0.7	0.125	1.75	2		2.75	3.75	1	3	0.625	0.5	2.1666666667	2.8333333333	3.5
Soft Coated Wheaten Terrier	0.7	0	0.25	0.5	0	1.25	1.5	0	0.8333333333	1	0	1.8333333333	1.1666666667	2
Mixed Breed/Unknown	0.4	0	0.25		0	2.875		1.75	2.3333333333	3.2857142857	1.3333333333	3.1666666667	2.6666666667	3.5
Mixed Breed/Unknown	0.3	1.2857142857	3	0.25	2	1.5	3.25	0.5	2	0.75	2	2.5	1.5	0
Flat-Coated Retriever	0	0	0	0.25	0	3.75	2	0	0.1666666667	0	0.5	1.1666666667	1.8333333333	2
Flat-Coated Retriever	0	0	1.5	1.75	0.5	3.25	3.75	0	1.6666666667	0	0.75	0.5	2.1666666667	3
Flat-Coated Retriever	0.6	0	1.5	0	1.25	2.375	3.5	0	0	0	0.5	2.6666666667	1.5	3
Labrador Retriever	0.8	0.375	0.25	0.5	0	1.625	3.3333333333	0	0.6666666667	1.125	1.6666666667	1.3333333333	1.6666666667	2.5
Whippet	0.1	0	0	0	0.75	2.25	2.5	0	0	3.25	1	2.1666666667	2.1666666667	2
Soft Coated Wheaten Terrier	0.2	0	0.75	1		2.25	2.25	0	0.8333333333	0	0.5	1.6666666667	2.3333333333	1.5
Australian Silky Terrier	1	0.625	2	3	1.25	1.625	3	1.5	1.6666666667	1.625	1.75	3.8333333333	3.6666666667	3
Australian Silky Terrier	1.5	0.875	2.75	2.75	1.5	1.75	2	1	1	0.875	1.25	3.8333333333	3.6666666667	2
Border Collie	1.5	0	1.75	0	0.5	3.625	0.25	1	0.8333333333	0	0.75	1.5	4	2.5
Cocker Spaniel (English)	0.8	0.25	2	2.5	1.25	1.5	1.5	0.75	1.8333333333	0.875	0	2.8333333333	2.6666666667	3
Maltese	0.1	0.125	0.25	3	0.5	1.875	0	0	1	0	1.25	1.1666666667	2.1666666667	2
Chihuahua	0.2	0	1.25	1	1.5	2.5	1	0	0	0.25	0.5	2.3333333333	0.5	0
Golden Retriever	0.4	0	0	0	0.5	3.25	1.5	0	1	0.75	0.25	2.3333333333	1.6666666667	1.5
Mixed Breed/Unknown	2.5	0.125	3.3333333333	0.3333333333		2.75	3.5	0	0.6666666667	1.625	0.25	2.3333333333	3.1666666667	1.5
Mixed Breed/Unknown	1.3	0.625	2.5	2	2	2.125	3	1	2.3333333333	0.75	1.5	3.1666666667	3	3
Rhodesian Ridgeback	0.6	0	0	0	0	2.5	1.5	0	0.1666666667	0.625	1	1.5	1	0
Rhodesian Ridgeback	0.2	0	2	0.6666666667	1.5	3.375	3	0	1.3333333333	0	0.25	0.5	1.1666666667	0
Australian Shepherd	0.7	0.1428571429	1	1.75	0	3.25	2.75	2.25	2.5	0.625	0.75	2	2.3333333333	2
Staffordshire Bull Terrier	0	0	1	1.25		2.625	2.25	1	3	0.625	1	3	2.1666666667	2
Labrador Retriever	0.2	0	0.75	1		2.5	2.25	0	0.5	1.5	0.5	2.6666666667	2.3333333333	2.5
Bichon Frise	0.9	1.125	1.5	1.25	1.5	2.25	1.5	0.75	1.1666666667	1.375	1.75	3	2.6666666667	2
American Staffordshire Terrier	0.8	0.75	1.5	0.75	1.25	2.5	2.5	1	1.5	1.375	1.75	2.1666666667	2.5	2
Chinook		0			0	3.5714285714	1	4	1.5	0	1	0.6666666667	1.6666666667	0
Poodle (Standard)	0.5	0	0.25	1.25	0.75	3	3	0.75	0.3333333333	0.375	0	2.3333333333	2.5	1.5
Border Collie	1.6666666667	0.2857142857	1	0.5		3	1.5	2.5	1	0.375	2.3333333333	3	2.8333333333	2
Labrador Retriever	1.7777777778	0.25	0.5	3.5		2.875	1.25	2.25	1	1.25		2.5	1.8333333333	1
Golden Retriever	0	0	0	0.3333333333	0	2.5	1.5	0	1	0.625	2.25	2	2.3333333333	3
Cairn Terrier	0.5	0.125	1.25	0.25	0	2.25	3	0	1.5	0.875	1.5	2.3333333333	1.6666666667	2
Cairn Terrier	0.7	0.25	0.5	0.5	0.25	1.75	3.5	0	2.8333333333	0.875	3.5	4	1.6666666667	2.5
Norwich Terrier	0.5	0	1.25	1	0	3	3	0	0.6666666667	0.125	0.25	2	2	3
Norwich Terrier	0.3	0	0.75	0.5	0.25	3	3.5	0	0.8333333333	0	0.25	2.1666666667	2.1666666667	3
Norwich Terrier	0.4	0	0	0	0.25	3.375	2.25	0	0.6666666667	0	0.25	2.5	2.3333333333	2
Golden Retriever	0.2	0	0.25	0.25		2.8571428571	2	0	0.4	0	0.25	2	1.4	2
Rottweiler	0.8	0	1	0	0	2.75	1.5	1.5	0.1666666667	0.125	0.5	1.8333333333	2.6666666667	2
Mixed Breed/Unknown	1.875	0	2.75	0	1.5	3	3.75	0	1	1	0.5	3.3333333333	3.5	4
Redbone Coonhound	2.3	0	2	0.3333333333	0.5	2.375	2.25	1	0	0	0.5	1.5	0.3333333333	0
Rottweiler	0.7	0.625	1.75	0		2.75		0	2	1.75	1.75	2.1666666667	2.8333333333	2.5
Schipperke	0.7	0	1.75	0.25	0	3.375	2	0	0.3333333333	0	1	1.5	1.1666666667	2.5
Schipperke	0.8	0.625	1	0.25	0.5	2.875	1.5	0.25	0.1666666667	0	2.6666666667	1.5	1.3333333333	1.5
